latitude,longitude,name,address,distance,nearest_station,num_bikes
42.853356,13.575843,Osteria del Cigno,Rua della Seta 2,12.0,Roma,43
42.853427,13.575537,Latteria Marini,Piazza Roma 5,25.0,Roma,43
42.854301,13.575988,Bar Degustazione Caffe Saccaria,Via Cino del Duca 7,69.0,Roma,43
42.854432,13.575297,Caffè Meletti,Piazza del Popolo 2,88.0,Roma,43
42.854311,13.57617,Siamo Fritti,Piazza Simonetti 87,105.0,Roma,43
42.854424,13.576164,Pizzeria L'Ascolana,Corso Trento e Trieste 77,114.0,Roma,43
42.854712,13.575235,Caffè Centrale,Piazza del Popolo 9,121.0,Roma,43
42.64273,13.26003,La Valle,Via Salaria,123.97742519310276,Romana,6
42.85497,13.576816,La Nicchia,Largo dei Cataldi 9,188.0,Roma,43
42.854214,13.578455,Osteria Nonna Nina,Piazza della Viola 11,246.0,De Gasperi,11
42.856078,13.576388,Piccolo Teatro,Via Carlo Goldoni 2,291.0,Roma,43
42.8615566,13.7167969,Baldassarri / Licia,Via Ancaranese,291.43864046545,Stazione,11
42.8659648882375,13.7211099725963,Del Borgo,"San Pancrazio 1, Via Dei Fossi",409.1853493136341,Stazione,11
42.8655629962843,13.7246995791793,Non solo... bollicine,"Castel di Lama, Italy",511.9659195084274,Stazione,11
42.85756,13.72209,Il Fornaccio di Assenti Sandro,Fraz. Campolungo,553.761071822299,Stazione,11
42.85756,13.72209,Migliori Gastronomia,"Fraz. Campolungo, SNC",553.761071822299,Stazione,11
42.85756,13.72209,Multitime Entertainment,"Fraz. Campolungo, SNC",553.761071822299,Stazione,11
42.85756,13.72209,Centro Turistico Rurale Il Poggio,Fraz. Campolungo,553.761071822299,Stazione,11
42.86021,13.71181,Pizzeria Europa di di Girolamo Maria Rosa,Via Salaria E.,583.1206772129644,Stazione,11
42.85518,13.57495,Caffè Meletti,Via del Trivio 56,682.5772588438341,Roma,43
42.85403,13.57875,Locanda del Medioevo,Via dei Bonaparte 28,687.6123965042394,De Gasperi,11
42.8531037,13.5751686,Caffe' Pretoriano,Via Pretoriana 14,717.144393605374,Roma,43
42.8542204,13.5755409,Cafe Meletti,Piazza del Popolo,729.0211826576747,Roma,43
42.86074,13.71147,Pizzeria Sonia,Via Beccaria,734.1386376711123,Stazione,11
42.85431,13.57617,Siamo Fritti,Corso Trento e Trieste 87,777.571647945909,Roma,43
43.2000999,13.7844896,Topas y Tapas,"Via 234 100, Centro Commerciale Città delle Stelle",786.9802768407812,Stazione,11
42.8551424,13.5765379,Lorenz Cafè,Piazza del Popolo 5,811.2194559203667,Roma,43
42.85348,13.57661,Migliori Gastronomia,Piazza Arringo,824.4743036185157,Roma,43
42.8544537,13.5786623,Pizzeria Bella Napoli,Via Bonaparte 18,982.3447678992076,De Gasperi,11
